[resume] starting fresh (no snapshot to resume from)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: jasonna24 (jasonna24-) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run yfj17wvz
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/wandb/run-20260514_022320-yfj17wvz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trial3
wandb: ⭐️ View project at https://wandb.ai/jasonna24-/triplane-ae
wandb: 🚀 View run at https://wandb.ai/jasonna24-/triplane-ae/runs/yfj17wvz
[train] latent data_range (p99-p1) = 5.0900
/opt/conda/lib/python3.11/site-packages/torch/nn/modules/transformer.py:382: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[train] exp=trial3  model=TriplaneAE  device=cuda
[train] batches=5000  batch_size=1  epochs=50
[eval] Loading MAISI decoder for image-domain validation...
[load_state] missing=0 unexpected=0
[eval] torch.compile disabled (eval.compile_maisi=false).
[eval] MAISI decoder ready.
[train] AMP mode: bfloat16 autocast (no GradScaler needed)
[epoch 1 step 000]  loss=7.90e-01  l1=7.90e-01  psnr=14.0  cos=-0.0272
[epoch 1 step 050]  loss=7.06e-01  l1=7.06e-01  psnr=14.7  cos=0.2423
[epoch 1 step 100]  loss=6.52e-01  l1=6.52e-01  psnr=15.1  cos=0.4632
[epoch 1 step 150]  loss=6.13e-01  l1=6.13e-01  psnr=15.6  cos=0.4482
[epoch 1 step 200]  loss=7.13e-01  l1=7.13e-01  psnr=14.5  cos=0.4186
[epoch 1 step 250]  loss=6.39e-01  l1=6.39e-01  psnr=15.4  cos=0.3652
[epoch 1 step 300]  loss=7.84e-01  l1=7.84e-01  psnr=13.8  cos=0.3457
[epoch 1 step 350]  loss=6.81e-01  l1=6.81e-01  psnr=15.0  cos=0.3608
[epoch 1 step 400]  loss=6.30e-01  l1=6.30e-01  psnr=15.5  cos=0.3772
[epoch 1 step 450]  loss=7.79e-01  l1=7.79e-01  psnr=13.7  cos=0.3798
[epoch 1 step 500]  loss=6.21e-01  l1=6.21e-01  psnr=15.5  cos=0.4452
[epoch 1 step 550]  loss=6.84e-01  l1=6.84e-01  psnr=14.8  cos=0.3905
[epoch 1 step 600]  loss=6.14e-01  l1=6.14e-01  psnr=15.6  cos=0.4407
[epoch 1 step 650]  loss=6.86e-01  l1=6.86e-01  psnr=14.9  cos=0.4077
[epoch 1 step 700]  loss=6.01e-01  l1=6.01e-01  psnr=15.7  cos=0.4516
[epoch 1 step 750]  loss=5.98e-01  l1=5.98e-01  psnr=15.8  cos=0.4433
[epoch 1 step 800]  loss=6.81e-01  l1=6.81e-01  psnr=14.7  cos=0.4759
[epoch 1 step 850]  loss=6.05e-01  l1=6.05e-01  psnr=15.6  cos=0.4443
[epoch 1 step 900]  loss=7.40e-01  l1=7.40e-01  psnr=13.8  cos=0.4531
[epoch 1 step 950]  loss=5.44e-01  l1=5.44e-01  psnr=16.4  cos=0.5040
[epoch 1 step 1000]  loss=5.82e-01  l1=5.82e-01  psnr=15.8  cos=0.5299
[epoch 1 step 1050]  loss=6.25e-01  l1=6.25e-01  psnr=15.6  cos=0.4300
[epoch 1 step 1100]  loss=5.53e-01  l1=5.53e-01  psnr=16.0  cos=0.5202
[epoch 1 step 1150]  loss=5.78e-01  l1=5.78e-01  psnr=15.7  cos=0.5694
[epoch 1 step 1200]  loss=5.91e-01  l1=5.91e-01  psnr=15.8  cos=0.4728
[epoch 1 step 1250]  loss=8.24e-01  l1=8.24e-01  psnr=13.4  cos=0.3927
[epoch 1 step 1300]  loss=5.88e-01  l1=5.88e-01  psnr=15.9  cos=0.4572
[epoch 1 step 1350]  loss=6.09e-01  l1=6.09e-01  psnr=15.3  cos=0.5609
[epoch 1 step 1400]  loss=5.49e-01  l1=5.49e-01  psnr=16.0  cos=0.5691
[epoch 1 step 1450]  loss=7.39e-01  l1=7.39e-01  psnr=14.2  cos=0.4077
[epoch 1 step 1500]  loss=7.10e-01  l1=7.10e-01  psnr=14.1  cos=0.4744
[epoch 1 step 1550]  loss=7.54e-01  l1=7.54e-01  psnr=13.9  cos=0.4074
[epoch 1 step 1600]  loss=6.71e-01  l1=6.71e-01  psnr=14.7  cos=0.4953
[epoch 1 step 1650]  loss=6.17e-01  l1=6.17e-01  psnr=15.6  cos=0.4406
[epoch 1 step 1700]  loss=7.24e-01  l1=7.24e-01  psnr=14.3  cos=0.4531
[epoch 1 step 1750]  loss=5.81e-01  l1=5.81e-01  psnr=16.0  cos=0.4733
[epoch 1 step 1800]  loss=6.31e-01  l1=6.31e-01  psnr=15.1  cos=0.5343
[epoch 1 step 1850]  loss=6.47e-01  l1=6.47e-01  psnr=14.9  cos=0.5163
[epoch 1 step 1900]  loss=7.03e-01  l1=7.03e-01  psnr=14.7  cos=0.4770
[epoch 1 step 1950]  loss=5.12e-01  l1=5.12e-01  psnr=16.8  cos=0.5199
[epoch 1 step 2000]  loss=7.55e-01  l1=7.55e-01  psnr=13.8  cos=0.4481
[epoch 1 step 2050]  loss=6.15e-01  l1=6.15e-01  psnr=15.5  cos=0.5102
[epoch 1 step 2100]  loss=6.03e-01  l1=6.03e-01  psnr=15.7  cos=0.4561
[epoch 1 step 2150]  loss=5.91e-01  l1=5.91e-01  psnr=15.6  cos=0.5736
[epoch 1 step 2200]  loss=6.55e-01  l1=6.55e-01  psnr=14.9  cos=0.5138
[epoch 1 step 2250]  loss=5.86e-01  l1=5.86e-01  psnr=16.0  cos=0.4661
[epoch 1 step 2300]  loss=6.98e-01  l1=6.98e-01  psnr=14.6  cos=0.4651
[epoch 1 step 2350]  loss=5.58e-01  l1=5.58e-01  psnr=16.2  cos=0.5167
[epoch 1 step 2400]  loss=5.98e-01  l1=5.98e-01  psnr=15.7  cos=0.4869
[epoch 1 step 2450]  loss=7.86e-01  l1=7.86e-01  psnr=13.7  cos=0.4304
[epoch 1 step 2500]  loss=5.81e-01  l1=5.81e-01  psnr=15.9  cos=0.5172
[epoch 1 step 2550]  loss=6.06e-01  l1=6.06e-01  psnr=15.6  cos=0.4812
[epoch 1 step 2600]  loss=6.59e-01  l1=6.59e-01  psnr=14.9  cos=0.5343
[epoch 1 step 2650]  loss=5.64e-01  l1=5.64e-01  psnr=15.9  cos=0.5079
[epoch 1 step 2700]  loss=6.25e-01  l1=6.25e-01  psnr=15.5  cos=0.4329
[epoch 1 step 2750]  loss=6.12e-01  l1=6.12e-01  psnr=15.7  cos=0.4358
[epoch 1 step 2800]  loss=5.17e-01  l1=5.17e-01  psnr=16.4  cos=0.6296
[epoch 1 step 2850]  loss=6.06e-01  l1=6.06e-01  psnr=15.7  cos=0.4570
[epoch 1 step 2900]  loss=6.19e-01  l1=6.19e-01  psnr=15.1  cos=0.5593
[epoch 1 step 2950]  loss=5.96e-01  l1=5.96e-01  psnr=15.6  cos=0.5084
[epoch 1 step 3000]  loss=7.53e-01  l1=7.53e-01  psnr=13.8  cos=0.4786
[epoch 1 step 3050]  loss=6.83e-01  l1=6.83e-01  psnr=14.5  cos=0.5216
[epoch 1 step 3100]  loss=5.84e-01  l1=5.84e-01  psnr=15.9  cos=0.4943
[epoch 1 step 3150]  loss=5.53e-01  l1=5.53e-01  psnr=16.2  cos=0.5751
[epoch 1 step 3200]  loss=5.71e-01  l1=5.71e-01  psnr=16.1  cos=0.4954
[epoch 1 step 3250]  loss=5.90e-01  l1=5.90e-01  psnr=15.8  cos=0.5027
[epoch 1 step 3300]  loss=5.82e-01  l1=5.82e-01  psnr=15.8  cos=0.4994
[epoch 1 step 3350]  loss=4.83e-01  l1=4.83e-01  psnr=16.8  cos=0.6308
[epoch 1 step 3400]  loss=6.10e-01  l1=6.10e-01  psnr=15.6  cos=0.5291
[epoch 1 step 3450]  loss=5.61e-01  l1=5.61e-01  psnr=16.2  cos=0.6016
[epoch 1 step 3500]  loss=7.52e-01  l1=7.52e-01  psnr=13.9  cos=0.4594
[epoch 1 step 3550]  loss=6.67e-01  l1=6.67e-01  psnr=14.7  cos=0.5136
[epoch 1 step 3600]  loss=7.02e-01  l1=7.02e-01  psnr=14.3  cos=0.4804
[epoch 1 step 3650]  loss=6.87e-01  l1=6.87e-01  psnr=14.8  cos=0.4840
[epoch 1 step 3700]  loss=5.46e-01  l1=5.46e-01  psnr=16.1  cos=0.6081
[epoch 1 step 3750]  loss=5.22e-01  l1=5.22e-01  psnr=16.4  cos=0.6325
[epoch 1 step 3800]  loss=6.12e-01  l1=6.12e-01  psnr=15.3  cos=0.5393
[epoch 1 step 3850]  loss=5.05e-01  l1=5.05e-01  psnr=16.6  cos=0.6174
[epoch 1 step 3900]  loss=5.74e-01  l1=5.74e-01  psnr=16.1  cos=0.4678
