model,cfg,FID_2p5D_Avg,CLIPScore,FVD_CTCLIP
"report2ct (toy_v2, sp0.757)",1,1.635455333230335,42.182546477143966,0.38629644492919296
"report2ct (toy_v2, sp0.757)",3,1.4975856228166482,59.29697631547848,0.35752341048703495
"report2ct (toy_v2, sp0.757)",5,1.455474053741727,61.804287668317556,0.38581754280752384
"report2ct (toy_v2, sp0.757)",7,1.445310572553493,62.690293277303375,0.40252142230339955
"report2ct (toy_v2, sp0.757)",9,1.4210424925847083,61.78062852844596,0.4086544972715301
report2ct_wan (ep299),1,1.4767337766993478,48.58174558418492,0.38167060931930336
report2ct_wan (ep299),3,1.4898751873876794,62.7734373472631,0.3892764205141996
report2ct_wan (ep299),5,1.61369618997373,65.16697798793514,0.36865871942493483
report2ct_wan (ep299),7,1.6216673311308274,65.66954597458243,0.3874281806876859
report2ct_wan (ep299),9,1.7137656058541566,65.69846870501836,0.3763660216451838
